hh,load
1765,52324
1766,51487
1767,50240
1768,48783
1769,47246
1770,45341
1771,43684
1772,41530
1773,39663
1774,37830
1775,35739
1776,35316
1777,35362
1778,35381
1779,35397
1780,34467
1781,33680
1782,33697
1783,33349
1784,32667
1785,32284
1786,32107
1787,32266
1788,32326
1789,33258
1790,33659
1791,34826
1792,35737
1793,37877
1794,39963
1795,41922
1796,42623
1797,43037
1798,43037
1799,43121
1800,43161
1801,42974
1802,42787
1803,42320
1804,42064
1805,41837
1806,41723
1807,41632
1808,41800
1809,42428
1810,44096
1811,46533
1812,48056
1813,47689
1814,46939
1815,45834
1816,44226
1817,42740
1818,41268
1819,39662
1820,38076
1821,36613
1822,35491
1823,33627
1824,32640
1825,32512
1826,32787
1827,32842
1828,32108
1829,31774
1830,31899
1831,31298
1832,30536
1833,30064
1834,29886
1835,29679
1836,29794
1837,30560
1838,31230
1839,32213
1840,32548
1841,33227
1842,34795
1843,36350
1844,37408
1845,38357
1846,38655
1847,38956
1848,39121
1849,39381
1850,39353
1851,38987
1852,38489
1853,38399
1854,38284
1855,38625
1856,39416
1857,40591
1858,42385
1859,45223
1860,47231
1861,47437
1862,46799
1863,45986
1864,44578
1865,43313
1866,41562
1867,40369
1868,38160
1869,36314
1870,34527
1871,32342
1872,31787
1873,32212
1874,32797
1875,32738
1876,32254
1877,31779
1878,31645
1879,31306
1880,30657
1881,30374
1882,30497
1883,31583
1884,32466
1885,36118
1886,39791
1887,44214
1888,45982
1889,46692
1890,46883
1891,46660
1892,46854
1893,46490
1894,46128
1895,46026
1896,45723
1897,45000
1898,44539
1899,44175
1900,43839
1901,43997
1902,43930
1903,44455
1904,45506
1905,46243
1906,47936
1907,50249
1908,52193
1909,52215
1910,51593
1911,50614
1912,49404
1913,47896
1914,46017
1915,43931
1916,41522
1917,39353
1918,36962
1919,34574
1920,34320
1921,34065
1922,34121
1923,34062
1924,33701
1925,33236
1926,33344
1927,32905
1928,32197
1929,31787
1930,31852
1931,33166
1932,34360
1933,37387
1934,40880
1935,44171
1936,45857
1937,46498
1938,46907
1939,47701
1940,48026
1941,48159
1942,48098
1943,48063
1944,48170
1945,48218
